PKC,PKA,Raf,Mek,P38,Jnk,Akt,Erk
17.0,414.0,26.4,13.2,44.9,40.0,17.0,6.61
3.37,352.0,35.9,16.5,16.5,61.5,32.5,18.6
11.4,403.0,59.4,44.1,31.9,19.5,32.5,14.9
13.7,528.0,73.0,82.8,28.6,23.1,11.8,5.83
4.66,305.0,33.7,19.8,25.7,81.3,46.1,21.1
13.7,610.0,18.8,3.75,49.1,57.8,25.7,11.9
15.0,835.0,44.9,36.5,35.9,18.1,17.9,8.66
6.44,466.0,47.4,15.0,24.4,20.0,45.3,20.2
29.2,445.0,104.0,61.5,61.0,25.3,23.5,11.5
14.6,213.0,21.1,21.5,26.7,101.0,135.0,13.2
20.4,449.0,16.4,16.4,44.9,24.1,34.6,21.9
31.9,389.0,74.3,22.9,71.0,35.5,36.5,20.9
17.9,528.0,85.1,39.6,44.1,118.0,12.2,6.67
14.6,400.0,36.8,29.2,41.4,151.0,17.9,17.9
9.73,500.0,29.2,24.1,19.1,7.91,7.23,8.82
56.2,392.0,50.0,13.8,77.0,1.0,27.9,18.1
40.0,89.0,26.2,26.7,65.5,1.42,37.9,9.06
16.5,223.0,39.6,38.2,30.8,7.64,31.3,27.6
24.1,319.0,30.5,19.8,37.2,17.2,36.2,19.1
14.2,710.0,49.1,16.5,27.4,22.1,62.1,31.1
12.0,843.0,38.5,8.9,28.4,20.9,35.9,12.1
13.8,276.0,31.6,17.8,28.4,12.7,23.9,10.2
1.0,965.0,41.0,27.9,84.3,4.61,50.0,30.2
35.9,449.0,70.4,54.2,93.9,48.3,27.9,9.91
35.9,1981.0,70.4,42.2,46.1,17.8,98.2,59.4
13.6,644.0,21.5,1.0,29.2,7.04,38.5,18.8
10.5,466.0,39.2,23.1,23.3,6.98,32.2,17.8
22.7,500.0,69.8,20.4,48.3,59.4,25.0,10.4
13.2,308.0,34.9,22.3,38.9,196.0,51.4,34.3
28.1,673.0,40.7,24.8,41.8,23.1,14.7,5.14
19.5,1382.0,45.7,15.7,38.5,20.9,49.1,23.9
34.0,621.0,43.7,29.2,67.9,28.1,12.5,8.58
26.9,422.0,79.9,80.6,40.3,15.3,35.5,10.5
38.5,552.0,56.7,17.3,59.9,17.9,22.9,9.22
22.9,325.0,58.8,19.5,31.9,20.7,33.7,19.1
22.5,403.0,53.8,12.7,38.5,20.9,37.9,20.2
14.7,429.0,58.3,23.1,28.9,12.6,48.7,36.2
2.46,1241.0,160.0,28.1,31.3,83.5,12.4,4.96
38.2,599.0,45.3,9.39,80.6,139.0,27.6,4.29
12.7,898.0,54.7,28.4,23.7,13.5,59.9,38.5
4.74,396.0,85.1,26.9,8.98,43.3,14.2,13.6
14.9,319.0,109.0,43.7,37.9,17.8,42.6,27.1
4.96,10.2,25.7,15.3,40.3,221.0,18.9,2.69
15.3,382.0,50.5,28.1,20.0,7.7,24.8,14.7
4.45,562.0,69.2,17.8,20.0,105.0,13.3,2.71
23.5,474.0,62.6,19.3,48.7,22.5,24.8,4.49
31.9,1433.0,67.9,43.7,66.7,40.0,38.5,17.8
21.3,233.0,75.0,57.8,46.1,17.0,36.2,21.9
12.5,1027.0,50.9,42.2,32.8,108.0,36.2,6.26
